proto,duration,packets,bytes,pps,bps,avg_pkt
17,5.637,3,203,0.532,36.011,67.667
6,20.052,4,312,0.199,15.56,78.0
6,5.027,2,352,0.398,70.026,176.0
6,5.035,4,484,0.794,96.124,121.0
17,24.189,18,9133,0.744,377.568,507.389
17,24.211,22,12427,0.909,513.277,564.864
6,4.843,6,1326,1.239,273.782,221.0
6,46.756,8,3224,0.171,68.954,403.0
6,43.008,2,132,0.047,3.069,66.0
6,7.055,14,15241,1.984,2160.351,1088.643
6,46.764,9,3141,0.192,67.166,349.0
6,6.82,11,1021,1.613,149.706,92.818
17,6.012,3,1458,0.499,242.532,486.0
6,10.118,91,7592,8.994,750.334,83.429
6,11.877,36,52566,3.031,4425.901,1460.167
6,14.109,29,6020,2.055,426.668,207.586
6,16.0,8,2564,0.5,160.254,320.5
6,40.067,30,111762,0.749,2789.388,3725.4
6,40.075,26,4386,0.649,109.445,168.692
6,39.803,382,2393836,9.597,60142.355,6266.586
6,6.724,10,2167,1.487,322.278,216.7
17,5.003,2,188,0.4,37.575,94.0
6,14.091,35,5523,2.484,391.95,157.8
6,15.976,8,2101,0.501,131.514,262.625
6,11.927,32,5220,2.683,437.653,163.125
6,6.706,8,2657,1.193,396.217,332.125
6,6.689,6,1234,0.897,184.471,205.667
6,6.753,10,1168,1.481,172.96,116.8
6,39.851,275,27549,6.901,691.296,100.178
6,33.374,7,704,0.21,21.094,100.571
17,5.037,2,146,0.397,28.986,73.0
6,4.032,2,460,0.496,114.087,230.0
6,9.809,4,322,0.408,32.828,80.5
6,4.201,8,6786,1.904,1615.388,848.25
6,5.012,3,418,0.599,83.407,139.333
6,5.025,2,352,0.398,70.048,176.0
6,6.335,10,950,1.578,149.953,95.0
6,5.145,6,444,1.166,86.299,74.0
6,17.452,17,1165,0.974,66.756,68.529
6,17.475,17,31106,0.973,1780.005,1829.765
6,4.302,12,11151,2.789,2591.993,929.25
6,5.004,3,308,0.6,61.552,102.667
17,5.611,56,10359,9.98,1846.181,184.982
17,5.655,84,57247,14.854,10122.905,681.512
6,8.32,4,264,0.481,31.731,66.0
17,4.94,372,341305,75.307,69092.836,917.487
17,4.942,401,283366,81.147,57342.595,706.648
6,4.491,9,884,2.004,196.833,98.222
6,5.004,2,352,0.4,70.341,176.0
6,4.104,5,370,1.218,90.145,74.0
6,45.16,4,391,0.089,8.658,97.75
6,45.162,4,399,0.089,8.835,99.75
6,7.424,11,11085,1.482,1493.141,1007.727
6,8.352,52,7206,6.226,862.828,138.577
6,5.011,4,484,0.798,96.59,121.0
6,5.422,6,593,1.107,109.372,98.833
6,8.364,99,660697,11.837,78995.118,6673.707
17,5.093,2,188,0.393,36.914,94.0
17,28.59,8,2830,0.28,98.985,353.75
17,5.128,2,146,0.39,28.47,73.0
17,15.99,2,972,0.125,60.787,486.0
6,4.407,13,8839,2.95,2005.52,679.923
6,5.003,2,352,0.4,70.362,176.0
6,4.456,13,3546,2.918,795.815,272.769
6,6.454,12,9064,1.859,1404.312,755.333
