200.42.122.9,443,192.168.0.84,56486,6,26,25,2330,327400,51,329730,0,51,0,0,0.000000,0.000000,1.000000,0.021453,2377.289890,15401575.537221,1.040000,0.007117,6465.294118,0.001717,0.000000,1,0.021453,0
192.168.0.84,36034,172.64.148.235,443,6,2,1,156,94,3,250,0,3,0,0,0.000000,0.000000,1.000000,0.018828,159.337157,18058.211175,2.000000,1.659574,83.333333,0.009274,0.000000,1,0.018828,0
192.168.0.84,52652,142.251.128.138,443,17,1,0,74,0,1,74,0,0,0,0,0.000000,0.000000,0.000000,0.000001,1000000.000000,148000000.000000,0.000000,0.000000,74.000000,0.000000,0.000000,1,0.000001,0
192.168.0.84,52652,142.251.128.138,443,17,1,0,71,0,1,71,0,0,0,0,0.000000,0.000000,0.000000,0.000001,1000000.000000,142000000.000000,0.000000,0.000000,71.000000,0.000000,0.000000,1,0.000001,0
20.189.173.16,443,192.168.0.84,44278,6,1,1,66,66,2,132,0,2,0,0,0.000000,0.000000,1.000000,0.197736,10.114496,1001.335113,1.000000,1.000000,66.000000,0.000000,0.000000,1,0.197736,0
192.168.0.84,58538,181.30.140.195,53,17,1,1,113,184,2,297,0,0,0,0,0.000000,0.000000,0.000000,0.016356,122.279286,25067.253607,1.000000,0.614130,148.500000,0.000000,0.000000,1,0.016356,0
192.168.0.84,59566,162.159.141.124,443,6,1,1,66,66,2,132,0,2,0,0,0.000000,0.000000,1.000000,0.043495,45.982297,4552.247385,1.000000,1.000000,66.000000,0.000000,0.000000,1,0.043495,0
192.168.0.84,48218,181.30.140.195,53,17,1,1,113,129,2,242,0,0,0,0,0.000000,0.000000,0.000000,0.049458,40.438352,7177.807433,1.000000,0.875969,121.000000,0.000000,0.000000,1,0.049458,0
192.168.0.84,59554,162.159.141.124,443,6,1,1,66,66,2,132,0,2,0,0,0.000000,0.000000,1.000000,0.044146,45.304218,4485.117564,1.000000,1.000000,66.000000,0.000000,0.000000,1,0.044146,0
20.189.173.18,443,192.168.0.84,39294,6,11,10,7022,5826,21,12848,2,20,2,0,0.095238,0.000000,0.952381,0.976854,21.497583,13228.179441,1.100000,1.205287,611.809524,0.082175,0.000000,1,0.976854,0
192.168.0.84,41096,181.30.140.195,53,17,1,1,113,183,2,296,0,0,0,0,0.000000,0.000000,0.000000,0.022491,88.924459,18185.051798,1.000000,0.617486,148.000000,0.000000,0.000000,1,0.022491,0
52.168.112.67,443,192.168.0.84,39830,6,12,11,8198,5892,23,14090,2,22,2,0,0.086957,0.000000,0.956522,0.823205,27.939578,17205.920761,1.090909,1.391378,612.608696,0.067482,0.000000,1,0.823205,0
200.42.122.9,443,192.168.0.84,56486,6,21,26,1998,328999,47,330997,0,47,0,0,0.000000,0.000000,1.000000,0.013478,3487.164268,24608621.457189,0.807692,0.006073,7042.489362,0.001163,0.000000,1,0.013478,0
192.168.0.84,60412,181.30.140.195,53,17,1,1,103,223,2,326,0,0,0,0,0.000000,0.000000,0.000000,0.018815,106.298166,22800.956683,1.000000,0.461883,163.000000,0.000000,0.000000,1,0.018815,0
192.168.0.84,35848,151.101.218.248,443,6,1,1,66,66,2,132,0,2,0,0,0.000000,0.000000,1.000000,0.016803,119.026364,11783.610070,1.000000,1.000000,66.000000,0.000000,0.000000,1,0.016803,0
192.168.0.84,56895,181.30.140.195,53,17,1,1,100,116,2,216,0,0,0,0,0.000000,0.000000,0.000000,0.019147,104.455006,16503.890949,1.000000,0.862069,108.000000,0.000000,0.000000,1,0.019147,0
35.186.224.36,443,192.168.0.84,57764,6,2,2,175,172,4,347,0,4,0,0,0.000000,0.000000,1.000000,0.163184,24.512207,2794.391607,1.000000,1.017442,86.750000,0.064892,0.000000,1,0.163184,0
192.168.0.84,52652,142.251.128.138,443,17,2,2,146,197,4,343,0,0,0,0,0.000000,0.000000,0.000000,4.553679,0.878411,90.915499,1.000000,0.741117,85.750000,2.129951,0.994815,0,4.553679,0
192.168.0.84,50459,181.30.140.195,53,17,1,1,113,129,2,242,0,0,0,0,0.000000,0.000000,0.000000,0.023084,86.640097,15378.617224,1.000000,0.875969,121.000000,0.000000,0.000000,1,0.023084,0
35.186.224.31,443,192.168.0.84,46553,17,11,7,11123,583,18,11706,0,0,0,0,0.000000,0.000000,0.000000,0.305783,58.865274,42513.808812,1.571429,19.078902,650.333333,0.040226,0.000000,1,0.305783,0
192.168.0.84,40838,181.30.140.195,53,17,1,1,103,278,2,381,0,0,0,0,0.000000,0.000000,0.000000,0.019031,105.091693,25432.189585,1.000000,0.370504,190.500000,0.000000,0.000000,1,0.019031,0
20.189.173.16,443,192.168.0.84,44278,6,7,7,9508,635,14,10143,0,14,0,0,0.000000,0.000000,1.000000,1.309175,10.693758,8134.894113,1.000000,14.973228,724.500000,0.215664,0.000000,0,1.309175,0
192.168.0.84,37435,181.30.140.195,53,17,1,1,100,184,2,284,0,0,0,0,0.000000,0.000000,0.000000,0.018671,107.117990,20566.654170,1.000000,0.543478,142.000000,0.000000,0.000000,1,0.018671,0
140.82.114.22,443,192.168.0.84,41648,6,31,48,61740,9619,79,71359,2,77,2,1,0.025316,0.012658,0.974684,1.873202,42.173775,38134.168125,0.645833,6.418547,903.278481,0.109519,0.000000,0,1.873202,0
192.168.0.84,47658,181.30.140.195,53,17,1,1,113,184,2,297,0,0,0,0,0.000000,0.000000,0.000000,0.015271,130.967193,26848.274507,1.000000,0.614130,148.500000,0.000000,0.000000,1,0.015271,0
